,number,value,datetime_start,datetime_complete,duration,params_Ve,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
86,86,22.16324234008789,2021-07-02 15:40:33.383834,2021-07-02 15:41:20.133424,0 days 00:00:46.749590000,8.482446624443824,128,50000,0.9999,1000,0.0006159742483398206,medium,5,PRUNED
87,87,0.270629346370697,2021-07-02 15:41:08.953429,2021-07-02 15:41:14.715143,0 days 00:00:05.761714000,8.234230883327013,128,50000,0.9,10000,0.0005887996677316472,medium,100,PRUNED
88,88,29.301456451416016,2021-07-02 15:41:14.715997,2021-07-02 15:41:59.931160,0 days 00:00:45.215163000,7.265038280640535,256,500000,0.99,1000,0.0017404945998419387,medium,5,PRUNED
89,89,-402.41461181640625,2021-07-02 15:41:20.134938,2021-07-02 15:41:22.607712,0 days 00:00:02.472774000,7.28602816586585,256,500000,0.99,10000,8.417641569089696e-05,small,10,PRUNED
90,90,-338.165771484375,2021-07-02 15:41:22.609093,2021-07-02 15:45:43.128712,0 days 00:04:20.519619000,9.749817002405338,1024,10000,0.95,1000,0.0017182092164327398,medium,50,COMPLETE
91,91,0.270629346370697,2021-07-02 15:41:44.351881,2021-07-02 15:41:49.777808,0 days 00:00:05.425927000,9.715926417529724,1024,10000,0.99,20000,0.0018636426787929504,medium,50,PRUNED
92,92,58.92243576049805,2021-07-02 15:41:49.778906,2021-07-02 15:42:44.767939,0 days 00:00:54.989033000,7.910370185504218,512,500000,0.95,1000,0.0012999631476026752,medium,4,PRUNED
93,93,191.26119995117188,2021-07-02 15:41:59.931973,2021-07-02 15:42:37.042889,0 days 00:00:37.110916000,8.734796554239557,256,10000,0.95,1000,0.001155628237119389,medium,4,PRUNED
94,94,70.69529724121094,2021-07-02 15:42:37.043922,2021-07-02 15:43:16.329799,0 days 00:00:39.285877000,9.391048239994584,256,10000,0.95,1000,0.0012948433769662906,medium,4,PRUNED
95,95,0.270629346370697,2021-07-02 15:42:44.769652,2021-07-02 15:43:22.885229,0 days 00:00:38.115577000,9.375348049202135,256,10000,0.95,1000,0.009430511262238091,medium,4,PRUNED
96,96,27.950769424438477,2021-07-02 15:43:16.330900,2021-07-02 15:44:06.392260,0 days 00:00:50.061360000,8.1275591497274,256,10000,0.95,1000,0.008884803102004403,medium,4,PRUNED
97,97,197.00363159179688,2021-07-02 15:43:22.885898,2021-07-02 15:43:38.603783,0 days 00:00:15.717885000,11.140794889728244,256,10000,0.95,5000,0.0010609674286301274,medium,500,PRUNED
98,98,-401.61395263671875,2021-07-02 15:43:38.604934,2021-07-02 15:43:42.054970,0 days 00:00:03.450036000,11.55845628923563,64,100000,0.9,10000,0.00041916677967121236,small,4,PRUNED
99,99,1.1354467868804932,2021-07-02 15:43:42.055575,2021-07-02 15:44:19.791402,0 days 00:00:37.735827000,8.164068371796658,256,10000,0.98,1000,0.002628932424742552,medium,50,PRUNED
100,100,440.5611267089844,2021-07-02 15:44:06.393055,2021-07-02 15:46:26.854802,0 days 00:02:20.461747000,8.597426366010557,256,10000,0.9999,0,0.00014321696622386672,medium,50,COMPLETE
101,101,217.1161651611328,2021-07-02 15:44:19.792674,2021-07-02 15:44:59.382046,0 days 00:00:39.589372000,8.565795661384366,256,10000,0.9999,0,0.00021015117459992526,medium,5,PRUNED
102,102,0.270629346370697,2021-07-02 15:44:59.384105,2021-07-02 15:45:07.105801,0 days 00:00:07.721696000,6.029677666976491,512,10000,0.995,10000,0.0001346961020637637,medium,10,PRUNED
103,103,-343.19940185546875,2021-07-02 15:45:07.106704,2021-07-02 15:45:48.857827,0 days 00:00:41.751123000,10.971023178833613,256,10000,0.95,1000,0.01957157948304769,medium,10,PRUNED
104,104,162.92506408691406,2021-07-02 15:45:43.130345,2021-07-02 15:46:26.342834,0 days 00:00:43.212489000,10.94578933414689,256,10000,0.95,1000,0.0036004249699858586,medium,10,PRUNED
105,105,108.86795806884766,2021-07-02 15:45:48.858478,2021-07-02 15:46:32.048744,0 days 00:00:43.190266000,9.170354534453047,256,10000,0.95,1000,0.00533644996339262,medium,10,PRUNED
106,106,-0.5067023038864136,2021-07-02 15:46:26.344982,2021-07-02 15:47:14.528172,0 days 00:00:48.183190000,10.548208276304843,256,10000,0.999,1000,0.005800909093713272,medium,10,PRUNED
107,107,-242.39431762695312,2021-07-02 15:46:26.856005,2021-07-02 15:47:15.125157,0 days 00:00:48.269152000,9.165554595343552,256,10000,0.9999,0,3.327131528271302e-05,medium,50,PRUNED
108,108,0.270629346370697,2021-07-02 15:46:32.049626,2021-07-02 15:47:25.264295,0 days 00:00:53.214669000,8.861405617070703,256,100000,0.9999,0,0.04068039718513388,medium,50,PRUNED
109,109,460.08416748046875,2021-07-02 15:47:14.530408,2021-07-02 15:49:44.599915,0 days 00:02:30.069507000,8.868849157325254,256,10000,0.9999,0,0.00028103001493222493,small,50,COMPLETE
110,110,224.72433471679688,2021-07-02 15:47:15.125801,2021-07-02 15:48:07.598517,0 days 00:00:52.472716000,8.654526316829953,256,100000,0.9999,0,0.0002987935946976264,small,50,PRUNED
111,111,-0.9460061192512512,2021-07-02 15:47:25.265524,2021-07-02 15:48:16.800547,0 days 00:00:51.535023000,8.658528147660489,256,10000,0.9999,0,0.00027858538037582906,small,5000,PRUNED
112,112,40.88996505737305,2021-07-02 15:48:07.599627,2021-07-02 15:49:15.656619,0 days 00:01:08.056992000,11.339269312235814,256,10000,0.9999,0,0.0005287790688260215,medium,5000,PRUNED
113,113,161.67947387695312,2021-07-02 15:48:16.802474,2021-07-02 15:49:16.461974,0 days 00:00:59.659500000,11.352346273134184,256,10000,0.95,1000,0.0005186032913031284,medium,4,PRUNED
114,114,47.59758758544922,2021-07-02 15:49:15.658602,2021-07-02 15:50:03.774723,0 days 00:00:48.116121000,9.976618152749559,256,10000,0.9,1000,0.001021150742381655,medium,4,PRUNED
115,115,-0.5477617979049683,2021-07-02 15:49:16.463695,2021-07-02 15:50:08.622890,0 days 00:00:52.159195000,9.988694475837871,256,10000,0.9,1000,0.004246392195468128,medium,5,PRUNED
116,116,203.70814514160156,2021-07-02 15:49:44.601401,2021-07-02 15:50:28.520268,0 days 00:00:43.918867000,8.429062146881359,256,10000,0.9999,0,0.00035764465783018253,small,50,PRUNED
117,117,22.537220001220703,2021-07-02 15:50:03.776758,2021-07-02 15:50:48.416496,0 days 00:00:44.639738000,7.854933816874843,256,10000,0.9999,0,0.000353855049381307,small,50,PRUNED
118,118,90.98719024658203,2021-07-02 15:50:08.624158,2021-07-02 15:50:55.081305,0 days 00:00:46.457147000,8.400850641356822,256,10000,0.9999,0,0.000386505838438808,small,50,PRUNED
119,119,378.8414001464844,2021-07-02 15:50:28.521314,2021-07-02 15:52:05.031988,0 days 00:01:36.510674000,8.918447627510481,512,10000,0.9999,0,0.00020122355812079252,small,50,PRUNED
120,120,178.54220581054688,2021-07-02 15:50:48.417565,2021-07-02 15:51:44.979801,0 days 00:00:56.562236000,8.943110729073371,512,500000,0.9999,0,0.00013369543172678488,small,50,PRUNED
121,121,-402.07171630859375,2021-07-02 15:50:55.082179,2021-07-02 15:50:57.757879,0 days 00:00:02.675700000,8.981162341023667,512,500000,0.99,10000,0.0001807986313029677,small,16,PRUNED
122,122,67.87775421142578,2021-07-02 15:50:57.758877,2021-07-02 15:51:42.562068,0 days 00:00:44.803191000,9.576261866892946,256,10000,0.9999,0,0.0001461009705899212,small,1000,PRUNED
