,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
88,88,-404.59521484375,2021-06-16 16:03:36.371399,2021-06-16 16:03:40.986724,0 days 00:00:04.615325000,1024,50000,0.11646916872641329,0.4630346302058918,0.99,20000,0.0005239961261345751,small,1000,PRUNED
89,89,785.778564453125,2021-06-16 16:03:40.987805,2021-06-16 16:05:15.436337,0 days 00:01:34.448532000,1024,50000,0.08770917400997588,0.4457066291163707,0.99,5000,0.00018409316220157902,small,1000,PRUNED
90,90,1439.8192138671875,2021-06-16 16:04:42.822245,2021-06-16 16:10:26.498367,0 days 00:05:43.676122000,1024,50000,0.08699577340727196,0.44622434349312257,0.99,5000,0.00029821508706587106,small,1000,COMPLETE
91,91,492.1660461425781,2021-06-16 16:05:10.668186,2021-06-16 16:06:16.071772,0 days 00:01:05.403586000,1024,50000,0.10820815975550734,0.473819069090992,0.995,10000,0.00030980538439676384,small,5000,PRUNED
92,92,34.33811950683594,2021-06-16 16:05:15.437024,2021-06-16 16:08:22.112637,0 days 00:03:06.675613000,1024,500000,0.10723099959208009,0.4787200635130402,0.98,10000,0.00026680318349251537,small,5000,PRUNED
93,93,1021.3507080078125,2021-06-16 16:06:16.073129,2021-06-16 16:10:55.078298,0 days 00:04:39.005169000,512,500000,0.13181666664349584,0.4121960728470663,0.98,5000,0.0004597285509179505,medium,1000,PRUNED
94,94,676.1337280273438,2021-06-16 16:08:22.113805,2021-06-16 16:10:15.236664,0 days 00:01:53.122859000,512,50000,0.10161712119215327,0.3597544411746491,0.9999,5000,0.0004560725494890909,medium,1000,PRUNED
95,95,313.51812744140625,2021-06-16 16:10:15.237599,2021-06-16 16:13:09.036939,0 days 00:02:53.799340000,1024,500000,0.12038425748228623,0.40900441216782174,0.99,5000,0.0006468537143871294,medium,10000,PRUNED
96,96,734.6502685546875,2021-06-16 16:10:26.499786,2021-06-16 16:11:54.543871,0 days 00:01:28.044085000,1024,50000,0.12045585417027499,0.4056605461484757,0.99,5000,0.0006564914509550334,small,1000,PRUNED
97,97,734.8911743164062,2021-06-16 16:10:55.079257,2021-06-16 16:12:24.810710,0 days 00:01:29.731453000,1024,50000,0.09318726504485754,0.4364777040239207,0.99,5000,0.000705406758979117,small,1000,PRUNED
98,98,-6.983597278594971,2021-06-16 16:11:54.544931,2021-06-16 16:11:58.961006,0 days 00:00:04.416075000,1024,50000,0.09668814132787172,0.4407823784120876,0.99,20000,0.0003239119086038846,small,10000,PRUNED
99,99,1059.927001953125,2021-06-16 16:11:58.961944,2021-06-16 16:15:32.874031,0 days 00:03:33.912087000,1024,50000,0.09167028832121066,0.37770474143835153,0.99,5000,0.000805341175914239,small,1000,PRUNED
100,100,-104.66996765136719,2021-06-16 16:12:24.812400,2021-06-16 16:14:24.987523,0 days 00:02:00.175123000,1024,50000,0.10467347250634387,0.22113083123162577,0.999,0,0.072584299346304,small,1500,PRUNED
101,101,1441.08544921875,2021-06-16 16:13:09.038103,2021-06-16 16:20:08.522434,0 days 00:06:59.484331000,1024,50000,0.10477255055968389,0.22178130587765427,0.999,0,0.0010753900616057787,small,1500,COMPLETE
102,102,-163.79080200195312,2021-06-16 16:14:24.988396,2021-06-16 16:15:59.431711,0 days 00:01:34.443315000,1024,50000,0.08957282969280438,0.25216973219000355,0.99,5000,0.0009013227584425546,small,1000,PRUNED
103,103,-313.5984802246094,2021-06-16 16:15:32.874872,2021-06-16 16:21:29.934528,0 days 00:05:57.059656000,128,10000,0.08525530779756992,0.38372074919344856,0.95,5000,0.0009510936020158792,medium,1000,COMPLETE
104,104,431.78448486328125,2021-06-16 16:15:59.432866,2021-06-16 16:22:25.826431,0 days 00:06:26.393565000,128,10000,0.058642206971602086,0.3931702205579997,0.95,5000,0.0010935846275756942,medium,1,COMPLETE
105,105,1435.341064453125,2021-06-16 16:20:08.523874,2021-06-16 16:26:47.299791,0 days 00:06:38.775917000,1024,50000,0.11125124087767448,0.18365340353360643,0.999,0,0.0010597673055413746,small,1500,COMPLETE
106,106,1442.9178466796875,2021-06-16 16:21:29.935667,2021-06-16 16:27:56.342373,0 days 00:06:26.406706000,1024,50000,0.11130189714777206,0.2171948845769062,0.999,0,0.0011102652540517777,small,1500,COMPLETE
107,107,1427.26953125,2021-06-16 16:22:25.827697,2021-06-16 16:28:39.894138,0 days 00:06:14.066441000,1024,50000,0.11017300914377236,0.45215345777310767,0.999,0,0.0003656450134186341,small,1500,COMPLETE
108,108,1416.0838623046875,2021-06-16 16:26:47.301675,2021-06-16 16:30:54.304883,0 days 00:04:07.003208000,1024,50000,0.111247539392839,0.17575345956126917,0.999,0,0.0003799310701751594,small,1500,PRUNED
109,109,730.1337890625,2021-06-16 16:27:56.343726,2021-06-16 16:29:58.644269,0 days 00:02:02.300543000,1024,50000,0.11593192432457365,0.1809185749256655,0.999,0,0.0028459241315583724,small,1500,PRUNED
110,110,1415.2242431640625,2021-06-16 16:28:39.896035,2021-06-16 16:32:50.825703,0 days 00:04:10.929668000,1024,50000,0.11629433293289192,0.18991251879187834,0.999,0,0.0014675595252977489,small,1500,PRUNED
111,111,1410.073486328125,2021-06-16 16:29:58.645385,2021-06-16 16:34:05.666973,0 days 00:04:07.021588000,1024,50000,0.12877878972719936,0.19085810904869124,0.999,0,0.0013095560008202873,small,1500,PRUNED
112,112,796.6264038085938,2021-06-16 16:30:54.305980,2021-06-16 16:32:55.696744,0 days 00:02:01.390764000,1024,50000,0.0999579383853019,0.18826289339187563,0.999,0,0.0014393210165780134,small,1500,PRUNED
113,113,753.255615234375,2021-06-16 16:32:50.826788,2021-06-16 16:34:50.424128,0 days 00:01:59.597340000,1024,50000,0.10511477556385922,0.15420591892976682,0.999,0,0.0012289915975088209,small,1500,PRUNED
114,114,1333.3626708984375,2021-06-16 16:32:55.697734,2021-06-16 16:39:20.403409,0 days 00:06:24.705675000,1024,50000,0.10430242461399733,0.16306599836247615,0.999,0,0.0010388816169152372,small,1500,COMPLETE
115,115,776.7472534179688,2021-06-16 16:34:05.667836,2021-06-16 16:36:06.550846,0 days 00:02:00.883010000,1024,50000,0.10550202565080025,0.21403752664876616,0.999,0,0.0005860277354773912,small,1500,PRUNED
116,116,795.0736083984375,2021-06-16 16:34:50.425731,2021-06-16 16:36:48.661125,0 days 00:01:58.235394000,1024,50000,0.11335539678149366,0.2159261232682664,0.999,0,0.0005639122769216776,small,1500,PRUNED
117,117,795.9949340820312,2021-06-16 16:36:06.551856,2021-06-16 16:38:02.924966,0 days 00:01:56.373110000,1024,50000,0.11948894873614538,0.2376954190383996,0.999,0,0.0005028699414425879,small,1500,PRUNED
118,118,1321.2105712890625,2021-06-16 16:36:48.661999,2021-06-16 16:40:59.958378,0 days 00:04:11.296379000,1024,50000,0.11759263066333735,0.23209232778284328,0.999,0,0.0009949099864303588,small,1500,PRUNED
119,119,-6.983597278594971,2021-06-16 16:38:02.925849,2021-06-16 16:38:08.006204,0 days 00:00:05.080355000,1024,50000,0.10397353658736137,0.1993190485107948,0.99,20000,0.0007909281071927308,small,1500,PRUNED
120,120,1438.73828125,2021-06-16 16:38:08.007436,2021-06-16 16:44:30.100001,0 days 00:06:22.092565000,1024,50000,0.09920378228986028,0.2280228574281302,0.99,0,0.00028196360451886697,small,1500,COMPLETE
121,121,1432.609619140625,2021-06-16 16:39:20.404817,2021-06-16 16:45:11.631722,0 days 00:05:51.226905000,1024,50000,0.09922103016154313,0.2627730194199971,0.99,5000,0.00021556280167859174,small,1000,COMPLETE
122,122,1404.7581787109375,2021-06-16 16:40:59.959953,2021-06-16 16:44:46.522896,0 days 00:03:46.562943000,1024,50000,0.09926000778590889,0.26177173401157594,0.99,5000,0.0017489054126309195,small,1000,PRUNED
